asset_id,DATE,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES,,
1,19/05/2026,267.69,269.2,267.26,267.58,267.75,267.61,268.38,302.25,251.7,6550621,1758070956,42072,,271.2219298
1,18/05/2026,266,267.99,264,267.3,267.7,267.58,265.74,302.25,251.7,8188098,2175940847,73020,,290.45
1,15/05/2026,269.91,269.91,267,268.09,267.88,267.3,268.35,302.25,251.7,7938250,2130232321,48771,,253.44
1,14/05/2026,267.99,268.85,265.32,265.44,268.47,268.09,267.35,302.25,251.7,7996734,2137901184,46969,,12631999.82
1,13/05/2026,265.04,267.14,263.53,265.05,265.62,265.44,265.6,302.25,251.7,9107154,2418859665,66239,,
1,12/05/2026,270.09,270.09,264.75,270.1,265.53,265.05,266.68,302.25,251.7,18622348,4966177197,135822,,
1,11/05/2026,272.98,272.98,269.9,273.94,270.09,270.1,270.89,302.25,251.7,12824989,3474201933,115883,,
1,08/05/2026,273.62,274.68,272,275.17,274.1,273.94,273.96,302.25,251.7,6950558,1904167623,51590,,
1,07/05/2026,275.7,277.09,274.61,275.73,275.4,275.17,275.68,302.25,251.7,11899464,3280412926,53444,,
1,06/05/2026,274.39,275.89,271.94,272.3,275.83,275.73,274.26,302.25,251.7,12026335,3298302885,54286,,
1,05/05/2026,274.99,274.99,270.7,273.12,272.49,272.3,271.92,302.25,251.7,7555162,2054403904,65827,,
1,04/05/2026,273.45,274.7,272,272.01,273.2,273.12,273.65,302.25,251.7,7112692,1946359569,93632,,
1,30/04/2026,273.13,273.2,269.34,273.13,272.9,272.01,270.63,302.25,251.7,9983703,2701873850,70276,,
1,29/04/2026,274,275,271.62,271.48,273,273.13,273.9,302.25,251.7,7694349,2107510890,35716,,
1,28/04/2026,273.25,273.3,271.1,272.52,271.8,271.48,272.14,302.25,251.7,6137965,1670385047,43832,,
1,27/04/2026,271.5,272.9,271.35,271.09,272.72,272.52,272.29,302.25,251.7,7931311,2159613881,58283,,
1,24/04/2026,271.31,274.94,270.1,273.76,271.35,271.09,271.47,302.25,251.7,10962751,2976027779,80772,,
1,23/04/2026,274.38,274.98,273.02,275.64,273.9,273.76,274,302.25,251.7,7079200,1939691099,54370,,
1,22/04/2026,275.52,277.38,275.35,277.63,275.75,275.64,275.97,302.25,251.7,9386982,2590513093,62721,,
1,21/04/2026,276.48,277.83,275.21,275.21,277.59,277.63,277.15,302.25,251.7,8328001,2308122562,47040,,
1,20/04/2026,275.87,276.61,274.12,275.87,274.98,275.21,275.55,302.25,251.7,10137601,2793440215,71861,,
1,17/04/2026,274.29,276.19,273,273.95,276,275.87,275,302.25,251.7,10218652,2810162855,58938,,
1,16/04/2026,274,275.83,273,273.77,273.8,273.95,274.31,302.25,251.7,12557328,3444565712,63696,,
1,15/04/2026,273.85,274.39,272,269.52,273.84,273.77,273.82,302.25,251.7,11252672,3081244780,66340,,
1,13/04/2026,268.95,270.35,266.78,271.95,269.35,269.52,268.68,302.25,251.7,12023953,3230614255,92223,,
1,10/04/2026,271.99,272.2,270,269.49,272.15,271.95,271.37,302.25,231.3,11042542,2996624650,68825,,
1,09/04/2026,267.7,272.49,267.7,271.68,269.73,269.49,269.93,302.25,231.3,10726135,2895351208,84118,,
1,08/04/2026,269.31,272,265.01,261.47,272,271.68,270.65,302.25,231.3,20203354,5468023481,95528,,
1,07/04/2026,260.39,261.8,257.41,260.25,261.64,261.47,260.16,302.25,231.3,11036818,2871382226,72500,,
1,06/04/2026,257,260.6,255.41,257.61,260.4,260.25,257.71,302.25,231.3,15631911,4028567709,149160,,
1,02/04/2026,256.99,259.29,251.7,257.45,259.29,257.61,253.65,302.25,231.3,21918815,5559688345,143329,,
1,01/04/2026,258.34,260.07,257.05,253.44,258,257.45,258.6,302.25,231.3,16273357,4208311031,97098,,
1,30/03/2026,258.42,258.42,252.55,258.89,255.26,253.44,254.84,302.25,231.3,27127660,6913263406,199150,,
1,27/03/2026,265.1,265.2,258.65,264.06,259.48,258.89,260.15,302.25,231.3,18765903,4882024574,139840,,
1,25/03/2026,263.99,265.9,255.9,259.83,264,264.06,264.44,302.25,231.3,14393659,3806277126,81504,,
1,24/03/2026,259,261.5,256.59,255.15,261.25,259.83,258.71,302.25,231.3,22805261,5899891860,107432,,
1,23/03/2026,261.39,261.44,254.8,262.07,255.79,255.15,256.03,302.25,231.3,28233942,7228768995,242237,,
1,20/03/2026,265.99,265.99,261.5,262.12,262.6,262.07,263.36,302.25,231.3,12105983,3188266512,80692,,
