asset_id,DATE,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES,,
4,19-May-26,766.70,770.80,760.25,768.65,762.80,762.45,765.85,2037.70,726.65,40307830.00,30869653333.95,414780.00,,807.02
4,18-May-26,759.00,774.10,751.35,767.50,768.80,768.65,765.63,2037.70,726.65,29812079.00,22825015390.55,396597.00,,923.60
4,15-May-26,773.00,781.90,765.40,769.55,770.00,767.50,774.13,2037.70,726.65,24347873.00,18848426198.20,268604.00,,731.55
4,14-May-26,751.00,778.30,747.00,749.60,770.10,769.55,767.26,2037.70,726.65,50992358.00,39124647345.10,521121.00,,46082512.02
4,13-May-26,752.00,759.95,747.35,750.45,749.15,749.60,752.96,2037.70,726.65,28960919.00,21806358980.45,395816.00,,
4,12-May-26,756.60,759.70,747.80,763.65,755.00,750.45,753.71,2037.70,726.65,43937132.00,33115812661.00,782428.00,,
4,11-May-26,771.95,774.85,761.90,780.85,766.25,763.65,769.20,2037.70,726.65,41123422.00,31632311080.15,446831.00,,
4,08-May-26,784.00,788.75,777.20,796.05,781.00,780.85,781.63,2037.70,726.65,38016841.00,29715255302.00,386448.00,,
4,07-May-26,794.00,801.55,788.55,796.55,795.55,796.05,795.15,2037.70,726.65,46137553.00,36686370164.65,369255.00,,
4,06-May-26,775.15,798.95,773.50,772.30,796.00,796.55,785.36,2037.70,726.65,35530831.00,27904417066.50,402081.00,,
4,05-May-26,774.40,776.90,763.70,779.40,773.20,772.30,771.31,2037.70,726.65,38887657.00,29994377836.65,491093.00,,
4,04-May-26,772.60,786.60,772.60,771.70,779.50,779.40,779.72,2037.70,726.65,29028060.00,22633711388.45,382758.00,,
4,30-Apr-26,770.00,778.80,762.25,779.00,774.75,771.70,770.36,2037.70,726.65,47998755.00,36976352716.85,568313.00,,
4,29-Apr-26,785.50,790.00,777.35,782.55,778.30,779.00,783.90,2037.70,726.65,25799963.00,20224713818.45,468032.00,,
4,28-Apr-26,785.00,794.50,778.30,789.80,782.35,782.55,786.39,2037.70,726.65,35366803.00,27812242540.60,333592.00,,
4,27-Apr-26,787.50,793.00,785.00,784.85,790.00,789.80,789.16,2037.70,726.65,18115375.00,14295937140.45,278374.00,,
4,24-Apr-26,777.30,787.60,777.00,784.35,785.15,784.85,782.99,2037.70,726.65,27720358.00,21704772419.30,363338.00,,
4,23-Apr-26,792.00,796.65,782.50,799.90,783.90,784.35,788.13,2037.70,726.65,37677616.00,29694861381.85,490484.00,,
4,22-Apr-26,810.00,813.05,798.00,811.75,799.40,799.90,804.11,2037.70,726.65,23876412.00,19199237337.70,278743.00,,
4,21-Apr-26,795.20,814.90,795.20,795.45,812.00,811.75,808.97,2037.70,726.65,49135752.00,39749281377.25,386140.00,,
4,20-Apr-26,797.10,809.95,790.00,799.90,795.20,795.45,796.95,2037.70,726.65,52148044.00,41559315742.55,550200.00,,
